{'ticks': 101709, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 36, 4, 334), 'data': [2501.1, 2483.0, 2491.0, 2505.3], 'rec_time': 2.8701062202453613}
{'ticks': 101749, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 36, 4, 334), 'data': [2501.7, 2481.4, 2502.2, 2493.8], 'rec_time': 2.8701062202453613}
{'ticks': 101789, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 36, 4, 334), 'data': [2500.0, 2482.3, 2496.5, 2498.6], 'rec_time': 2.9266984462738037}
{'ticks': 101829, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 36, 4, 334), 'data': [2500.4, 2481.6, 2491.6, 2502.3], 'rec_time': 2.9266984462738037}
{'ticks': 101869, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 36, 4, 334), 'data': [2501.5, 2482.5, 2502.9, 2490.5], 'rec_time': 2.988959550857544}
{'ticks': 101909, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2503.5, 2485.1, 2496.2, 2495.7], 'rec_time': 3.046508550643921}
{'ticks': 101949, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2501.9, 2484.2, 2500.3, 2497.6], 'rec_time': 3.09983229637146}
{'ticks': 101989, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2502.4, 2483.8, 2491.8, 2494.4], 'rec_time': 3.09983229637146}
{'ticks': 102029, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2503.6, 2482.4, 2495.5, 2500.4], 'rec_time': 3.1616122722625732}
{'ticks': 102069, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2502.4, 2480.0, 2509.4, 2503.5], 'rec_time': 3.1616122722625732}
{'ticks': 102109, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2501.2, 2481.4, 2507.8, 2506.9], 'rec_time': 3.2138354778289795}
{'ticks': 102149, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2503.6, 2481.5, 2504.4, 2501.6], 'rec_time': 3.271670341491699}
{'ticks': 102189, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2498.3, 2480.5, 2496.9, 2492.2], 'rec_time': 3.331617832183838}
{'ticks': 102229, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2501.6, 2484.4, 2504.3, 2500.5], 'rec_time': 3.3920223712921143}
{'ticks': 102269, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2500.5, 2485.2, 2494.3, 2502.7], 'rec_time': 3.3920223712921143}
{'ticks': 102309, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2500.3, 2483.2, 2491.3, 2497.6], 'rec_time': 3.454444408416748}
{'ticks': 102349, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2499.9, 2480.4, 2497.5, 2502.5], 'rec_time': 3.454444408416748}
{'ticks': 102389, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2500.2, 2484.7, 2498.4, 2498.6], 'rec_time': 3.521304130554199}
{'ticks': 102429, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2503.2, 2482.3, 2511.9, 2501.2], 'rec_time': 3.5736541748046875}
{'ticks': 102469, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2501.7, 2481.9, 2496.5, 2491.6], 'rec_time': 3.5736541748046875}
{'ticks': 102509, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2504.1, 2482.7, 2492.8, 2503.2], 'rec_time': 3.627864360809326}
{'ticks': 102549, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2502.8, 2483.9, 2501.3, 2492.1], 'rec_time': 3.684250831604004}
{'ticks': 102589, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2500.8, 2482.3, 2500.3, 2496.9], 'rec_time': 3.684250831604004}
{'ticks': 102629, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2501.5, 2484.7, 2493.5, 2499.6], 'rec_time': 3.7359120845794678}
{'ticks': 102669, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2502.2, 2486.5, 2497.1, 2499.0], 'rec_time': 3.786872625350952}
{'ticks': 102709, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2024, 11, 29, 11, 24, 37, 4, 334), 'data': [2504.0, 2484.1, 2491.8, 2500.0], 'rec_time': 3.8370466232299805}
