{'ticks': 23988, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2699.9, 2961.9, 3037.0, 3013.5], 'rec_time': 0.6652698516845703}
{'ticks': 23999, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2760.5, 3112.8, 2583.3, 3404.9], 'rec_time': 0.6652698516845703}
{'ticks': 24028, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2699.3, 2957.7, 3037.3, 3013.5], 'rec_time': 0.6652698516845703}
{'ticks': 24029, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2708.7, 2931.0, 2510.1, 2675.2], 'rec_time': 0.6652698516845703}
{'ticks': 24039, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2760.4, 3112.7, 2581.9, 3405.2], 'rec_time': 0.666271448135376}
{'ticks': 24068, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2700.6, 2962.0, 3037.5, 3011.8], 'rec_time': 0.666271448135376}
{'ticks': 24069, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2711.8, 2934.1, 2510.6, 2676.2], 'rec_time': 0.666271448135376}
{'ticks': 24079, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2760.6, 3112.5, 2583.5, 3404.8], 'rec_time': 0.666271448135376}
{'ticks': 24109, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2710.2, 2933.8, 2509.6, 2677.9], 'rec_time': 0.666271448135376}
{'ticks': 24108, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2699.3, 2958.1, 3036.7, 3010.1], 'rec_time': 0.666271448135376}
{'ticks': 24119, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2760.1, 3112.4, 2583.4, 3405.3], 'rec_time': 0.666271448135376}
{'ticks': 24149, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2710.9, 2934.1, 2510.5, 2674.5], 'rec_time': 0.666271448135376}
{'ticks': 24148, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2700.7, 2959.3, 3036.9, 3012.7], 'rec_time': 0.666271448135376}
{'ticks': 24159, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2760.5, 3112.3, 2584.4, 3404.4], 'rec_time': 0.666271448135376}
{'ticks': 24189, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2712.2, 2934.8, 2511.6, 2678.9], 'rec_time': 0.666271448135376}
{'ticks': 24188, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2700.0, 2962.1, 3037.8, 3013.2], 'rec_time': 0.666271448135376}
{'ticks': 24199, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2760.9, 3112.8, 2583.1, 3404.9], 'rec_time': 0.666271448135376}
{'ticks': 24229, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2709.9, 2929.3, 2509.5, 2676.8], 'rec_time': 0.666271448135376}
{'ticks': 24228, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2699.1, 2958.1, 3036.9, 3012.7], 'rec_time': 0.666271448135376}
{'ticks': 24239, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2759.5, 3112.3, 2583.4, 3404.9], 'rec_time': 0.666271448135376}
{'ticks': 24269, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2711.9, 2931.8, 2510.0, 2676.7], 'rec_time': 0.666271448135376}
{'ticks': 24268, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2699.7, 2960.3, 3036.7, 3011.8], 'rec_time': 0.666271448135376}
{'ticks': 24279, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 23, 5, 1), 'data': [2760.8, 3112.9, 2584.2, 3405.3], 'rec_time': 0.666271448135376}
{'ticks': 24309, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2711.8, 2933.6, 2510.5, 2675.6], 'rec_time': 0.666271448135376}
{'ticks': 24308, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2699.9, 2959.9, 3037.2, 3012.7], 'rec_time': 0.666271448135376}
{'ticks': 24319, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.1, 3112.3, 2582.1, 3404.8], 'rec_time': 0.6673712730407715}
{'ticks': 24348, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2699.8, 2959.1, 3036.4, 3012.5], 'rec_time': 0.6673712730407715}
{'ticks': 24349, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2711.6, 2932.2, 2510.8, 2677.8], 'rec_time': 0.6673712730407715}
{'ticks': 24359, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.2, 3112.3, 2581.2, 3404.3], 'rec_time': 0.6673712730407715}
{'ticks': 24389, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2709.7, 2931.0, 2510.4, 2677.9], 'rec_time': 0.6673712730407715}
{'ticks': 24388, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2699.4, 2959.9, 3036.5, 3008.8], 'rec_time': 0.6673712730407715}
{'ticks': 24399, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2759.5, 3112.0, 2581.9, 3404.4], 'rec_time': 0.6673712730407715}
{'ticks': 24429, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2710.6, 2935.0, 2509.7, 2679.3], 'rec_time': 0.6673712730407715}
{'ticks': 24428, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2699.8, 2959.1, 3036.9, 3013.5], 'rec_time': 0.6673712730407715}
{'ticks': 24439, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.6, 3112.3, 2582.8, 3404.5], 'rec_time': 0.6673712730407715}
{'ticks': 24469, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2712.1, 2934.0, 2513.5, 2677.9], 'rec_time': 0.6673712730407715}
{'ticks': 24468, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2699.5, 2961.1, 3036.6, 3015.3], 'rec_time': 0.6673712730407715}
{'ticks': 24479, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.6, 3112.3, 2583.2, 3405.1], 'rec_time': 0.6673712730407715}
